"id","faculty_id","start_year","title"
"644641","-204768","2017","ДПИ11"
"727841","-204768","2017","ДПО11"
"668193","18463","2017","ИМп11"
"667937","18463","2017","ИМп12"
"581153","18463","2017","ИМп13"
"-86468","18463","2016","ИМп21"
"-117700","18463","2016","ИМп22"
"-136132","18463","2016","ИМп23"
"-130756","18463","2016","ИМп24"
"307233","18463","2015","ИМп31"
"316705","18463","2015","ИМп32"
"325153","18463","2015","ИМп33"
"327969","18463","2015","ИМп34"
"328481","18463","2015","ИМп35"
"328737","18463","2015","ИМп36"
"680737","18463","2015","ИМп37"
"486689","18463","2016","ИМп41"
"486945","18463","2016","ИМп42"
"487201","18463","2016","ИМп43"
"487457","18463","2016","ИМп44"
"149025","18463","2014","ИМп45"
"149793","18463","2014","ИМп46"
"150049","18463","2014","ИМп47"
"150305","18463","2014","ИМп48"
"654881","18463","2017","ИТД11"
"655137","18463","2017","ИТД12"
"-100036","18463","2016","ИТД21"
"-94660","18463","2016","ИТД22"
"292129","18463","2015","ИТД31"
"292385","18463","2015","ИТД32"
"292641","18463","2015","ИТД33"
"293409","18463","2015","ИТД34"
"142369","18463","2014","ИТД41"
"142625","18463","2014","ИТД42"
"142881","18463","2014","ИТД43"
"143137","18463","2014","ИТД44"
"143393","18463","2014","ИТД45"
"-144836","18463","2016","ИЭ21"
"-120260","18463","2016","ИЭ22"
"-96196","18463","2016","ИЭ23"
"-125892","18463","2016","ИЭ24"
"-140228","18463","2016","ИЭ25"
"-125380","18463","2016","ИЭ26"
"-130244","18463","2016","ИЭ27"
"-125636","18463","2016","ИЭ28"
"-95172","18463","2016","ИЭ29"
"284705","18463","2015","ИЭ31"
"287777","18463","2015","ИЭ32"
"288289","18463","2015","ИЭ33"
"288545","18463","2015","ИЭ34"
"289057","18463","2015","ИЭ35"
"289569","18463","2015","ИЭ36"
"289825","18463","2015","ИЭ37"
"290337","18463","2015","ИЭ38"
"138529","18463","2014","ИЭ41"
"138785","18463","2014","ИЭ42"
"139041","18463","2014","ИЭ43"
"139297","18463","2014","ИЭ44"
"140065","18463","2014","ИЭ47"
"140321","18463","2014","ИЭ48"
"140577","18463","2014","ИЭ49"
"140833","18463","2014","ИЭ4A"
"486177","18463","2016","ИЭ4B"
"486433","18463","2016","ИЭ4C"
"-105924","416800","2016","МКИС21"
"276513","416800","2015","МКИС31"
"122913","416800","2014","МКИС41"
"123169","416800","2014","МКИС42"
"670241","416800","2017","МКИСп11"
"670497","416800","2017","МКИСп12"
"-90052","416800","2016","МКИСп21"
"-136644","416800","2016","МКИСп22"
"280609","416800","2015","МКИСп31"
"347681","416800","2015","МКИСп32"
"671777","416800","2017","МКМ11"
"671009","416800","2017","МКР11"
"-127940","416800","2016","МКР21"
"281377","416800","2015","МКР31"
"137505","416800","2014","МКР41"
"642849","416800","2017","МКС11"
"-90308","416800","2016","МКС21"
"281121","416800","2015","МКС31"
"480801","416800","2016","МКС32"
"137249","416800","2014","МКС41"
"345121","416800","2015","МКС42"
