academic_group_id	session_number	exam_number	teacher_id	subject_id	success_count	all_count	students_failed	group_performance	exam_index	examiner_weighted_norm	subject_weighted_norm	yp	error	a	b	t_a	t_b	group_id
143649	1	2	18720.0	9287	3	17	14	0.8235294117647058	478	0.5261324041811847	0.4940374787052811	0.3705367399880854	0.45299267177662045	0.0	0.7500174702517453	0.9043056317057958	1.9390236632538975	143649
143649	1	3	171552.0	1741	9	17	8	0.47058823529411764	814	0.5026455026455027	0.4317937701396348	0.32385287115059247	0.14673536414352517	0.0	0.7500174702517453	0.9043056317057958	1.9390236632538975	143649
143649	1	4	710432.0	3978	4	17	13	0.7647058823529411	1134	0.6082089552238806	0.7777777777777778	0.583346921306913	0.1813589610460281	0.0	0.7500174702517453	0.9043056317057958	1.9390236632538975	143649
143649	2	3	146976.0	3978	2	17	15	0.8823529411764706	1970	0.7235294117647059	0.7777777777777778	0.583346921306913	0.29900601986955755	0.0	0.7500174702517453	0.9043056317057958	1.9390236632538975	143649
143649	2	4	18720.0	9287	3	17	14	0.8235294117647058	2199	0.5261324041811847	0.4940374787052811	0.3705367399880854	0.45299267177662045	0.0	0.7500174702517453	0.9043056317057958	1.9390236632538975	143649
143649	3	1	416288.0	2589	12	17	5	0.29411764705882354	2452	0.4666666666666667	0.35714285714285715	0.2678633822327662	0.02625426482605736	0.0	0.7500174702517453	0.9043056317057958	1.9390236632538975	143649
143649	3	2	629536.0	9391	1	17	16	0.9411764705882353	2721	0.7248322147651006	0.6730769230769231	0.5048194511309825	0.4363570194572528	0.0	0.7500174702517453	0.9043056317057958	1.9390236632538975	143649
143649	3	3	1543968.0	9424	10	17	7	0.4117647058823529	2978	0.5914893617021276	0.4367239732569245	0.3275506096204494	0.08421409626190351	0.0	0.7500174702517453	0.9043056317057958	1.9390236632538975	143649
143649	4	2	326176.0	10173	13	17	4	0.23529411764705882	3479	0.31645569620253167	0.45298165137614677	0.3397441522355956	0.1044500345885368	0.0	0.7500174702517453	0.9043056317057958	1.9390236632538975	143649
143649	4	3	655904.0	3502	6	17	11	0.6470588235294118	3664	0.6470588235294118	0.6470588235294118	0.4853054219275999	0.1617534016018119	0.0	0.7500174702517453	0.9043056317057958	1.9390236632538975	143649
143649	4	4	199968.0	7969	8	17	9	0.5294117647058824	3824	0.46017699115044247	0.5294117647058824	0.39706807248621806	0.1323436922196643	0.0	0.7500174702517453	0.9043056317057958	1.9390236632538975	143649
143649	5	1	197408.0	3517	17	17	0	0.0	3962	0.0	0.0	0.0	0.0	0.0	0.7500174702517453	0.9043056317057958	1.9390236632538975	143649
143649	5	3	199968.0	8053	12	17	5	0.29411764705882354	4332	0.46017699115044247	0.29411764705882354	0.2205933736034545	0.07352427345536905	0.0	0.7500174702517453	0.9043056317057958	1.9390236632538975	143649
143649	6	1	123680.0	4184	12	17	5	0.29411764705882354	4577	0.6666666666666666	0.14705882352941177	0.11029668680172725	0.1838209602570963	0.0	0.7500174702517453	0.9043056317057958	1.9390236632538975	143649
